filename,width,height,class,xmin,ymin,xmax,ymax
0_image_0.png,1280,720,parcel,518,362,718,450
0_image_0.png,1280,720,parcel,564,209,742,272
0_image_0.png,1280,720,parcel,563,168,696,207
0_image_0.png,1280,720,parcel,541,125,692,168
0_image_0.png,1280,720,parcel,556,98,656,135
0_image_0.png,1280,720,parcel,584,75,640,95
0_image_10125.png,1280,720,parcel,474,364,779,516
0_image_10125.png,1280,720,parcel,536,108,720,209
0_image_10125.png,1280,720,parcel,567,82,641,112
0_image_10125.png,1280,720,parcel,559,50,640,80
0_image_10350.png,1280,720,parcel,581,147,697,184
0_image_10350.png,1280,720,parcel,564,116,684,149
0_image_10350.png,1280,720,parcel,579,73,632,100
0_image_10350.png,1280,720,parcel,573,35,619,61
0_image_10575.png,1280,720,parcel,560,152,686,204
0_image_10575.png,1280,720,parcel,582,108,651,134
0_image_10575.png,1280,720,parcel,565,84,643,121
0_image_10575.png,1280,720,parcel,565,59,634,84
0_image_10800.png,1280,720,parcel,231,545,623,693
0_image_10800.png,1280,720,parcel,429,435,725,585
0_image_10800.png,1280,720,parcel,572,375,772,458
0_image_10800.png,1280,720,parcel,592,203,714,321
0_image_10800.png,1280,720,parcel,559,139,684,185
0_image_10800.png,1280,720,parcel,552,111,674,141
0_image_10800.png,1280,720,parcel,554,70,652,108
0_image_10800.png,1280,720,nonParcel,373,166,468,218
0_image_10800.png,1280,720,nonParcel,937,271,999,375
0_image_10800.png,1280,720,parcel,565,44,631,63
0_image_10800.png,1280,720,parcel,572,18,625,41
0_image_11025.png,1280,720,parcel,343,536,697,679
0_image_11025.png,1280,720,parcel,492,314,793,481
0_image_11025.png,1280,720,parcel,519,232,760,307
0_image_11025.png,1280,720,parcel,525,179,714,239
0_image_11025.png,1280,720,parcel,561,149,684,195
0_image_11025.png,1280,720,parcel,565,108,652,139
0_image_11025.png,1280,720,parcel,568,67,625,89
0_image_11025.png,1280,720,parcel,574,41,617,59
0_image_1125.png,1280,720,parcel,369,517,652,658
0_image_1125.png,1280,720,parcel,529,408,769,503
0_image_1125.png,1280,720,parcel,534,336,711,407
0_image_1125.png,1280,720,parcel,532,290,783,361
0_image_1125.png,1280,720,parcel,570,253,723,306
0_image_1125.png,1280,720,parcel,547,209,727,257
0_image_1125.png,1280,720,parcel,552,138,673,184
0_image_1125.png,1280,720,parcel,556,180,641,214
0_image_1125.png,1280,720,parcel,559,107,646,140
0_image_1125.png,1280,720,parcel,552,75,675,106
0_image_1125.png,1280,720,parcel,563,53,627,75
0_image_11250.png,1280,720,parcel,508,368,792,475
0_image_11250.png,1280,720,parcel,508,248,797,356
0_image_11250.png,1280,720,parcel,542,197,722,289
0_image_11250.png,1280,720,parcel,560,123,683,184
0_image_11250.png,1280,720,parcel,561,93,663,125
0_image_11250.png,1280,720,parcel,578,59,627,82
0_image_11475.png,1280,720,parcel,561,309,779,425
0_image_11475.png,1280,720,parcel,549,253,738,312
0_image_11475.png,1280,720,parcel,588,176,697,256
0_image_11475.png,1280,720,parcel,568,111,660,148
0_image_11475.png,1280,720,parcel,574,85,636,108
0_image_11475.png,1280,720,nonParcel,410,157,474,203
0_image_11475.png,1280,720,nonParcel,928,259,988,386
0_image_11475.png,1280,720,parcel,577,58,625,85
0_image_11700.png,1280,720,parcel,567,91,649,122
0_image_11700.png,1280,720,parcel,572,62,627,82
0_image_11700.png,1280,720,parcel,578,39,625,63
0_image_11925.png,1280,720,parcel,575,65,627,85
0_image_12150.png,1280,720,parcel,568,43,627,77
0_image_12375.png,1280,720,parcel,593,339,750,426
0_image_12375.png,1280,720,parcel,587,163,673,198
0_image_12375.png,1280,720,parcel,569,80,641,100
0_image_12375.png,1280,720,parcel,551,59,659,85
0_image_12375.png,1280,720,parcel,572,45,629,56
0_image_12600.png,1280,720,parcel,519,375,778,485
0_image_12600.png,1280,720,parcel,536,308,802,390
0_image_12600.png,1280,720,parcel,592,257,768,313
0_image_12600.png,1280,720,parcel,547,159,696,200
0_image_12600.png,1280,720,parcel,567,88,645,120
0_image_12600.png,1280,720,parcel,561,54,641,82
0_image_12600.png,1280,720,nonParcel,401,179,455,245
0_image_12600.png,1280,720,nonParcel,932,275,991,381
0_image_12600.png,1280,720,parcel,575,40,618,54
0_image_12825.png,1280,720,parcel,543,331,768,435
0_image_12825.png,1280,720,parcel,547,204,742,279
0_image_12825.png,1280,720,parcel,567,97,660,138
0_image_12825.png,1280,720,parcel,567,66,645,94
0_image_13050.png,1280,720,parcel,569,202,731,268
0_image_13050.png,1280,720,parcel,561,177,686,216
0_image_13050.png,1280,720,parcel,558,149,673,186
0_image_13050.png,1280,720,parcel,568,117,656,150
0_image_13050.png,1280,720,parcel,574,94,618,107
0_image_13050.png,1280,720,parcel,573,64,617,79
0_image_13050.png,1280,720,parcel,572,49,618,63
0_image_13275.png,1280,720,parcel,508,412,773,535
0_image_13275.png,1280,720,parcel,551,272,787,394
0_image_13275.png,1280,720,parcel,610,248,711,279
0_image_13275.png,1280,720,parcel,643,207,750,245
0_image_13275.png,1280,720,parcel,551,170,705,211
0_image_13275.png,1280,720,parcel,493,103,728,195
0_image_13275.png,1280,720,parcel,574,89,638,111
0_image_13275.png,1280,720,parcel,565,59,623,79
0_image_1350.png,1280,720,parcel,479,327,741,471
0_image_1350.png,1280,720,parcel,559,234,743,321
0_image_1350.png,1280,720,parcel,570,138,697,212
0_image_1350.png,1280,720,parcel,570,107,658,131
0_image_1350.png,1280,720,parcel,578,82,645,98
0_image_1350.png,1280,720,parcel,575,63,628,80
0_image_13500.png,1280,720,parcel,224,575,633,688
0_image_13500.png,1280,720,parcel,415,459,682,576
0_image_13500.png,1280,720,parcel,513,343,791,484
0_image_13500.png,1280,720,parcel,569,206,710,256
0_image_13500.png,1280,720,parcel,561,164,699,203
0_image_13500.png,1280,720,parcel,558,121,655,161
0_image_13500.png,1280,720,parcel,573,85,643,117
0_image_13500.png,1280,720,nonParcel,368,172,461,223
